date,ICICI_LargeMidcap,Nifty50_BeES,fund_ret,bench_ret
2008-02-07,15.09,519.0489,-0.03516624040920724,-0.03551999435116948
2008-02-08,15.0,517.772,-0.005964214711729587,-0.002460076497609265
2008-02-11,14.29,491.2099,-0.04630020833333341,-0.05105914516425059
2008-02-12,14.26,489.3124,-0.0020993701889432392,-0.0038629107434520193
2008-02-13,14.53,498.6248,0.018934081346423604,0.019031604349286857
2008-02-14,15.28,526.1249,0.048735438676587146,0.05241275355320959
2008-02-15,15.55,536.2917,0.017670157068062853,0.019323928595662343
2008-02-18,15.47,533.6485,-0.005144694533762095,-0.004928661025333736
2008-02-19,15.51,534.0338,0.0025856496444731647,0.0007220108367211875
2008-02-20,15.13,521.2873,-0.024500322372662753,-0.02386833941971478
2008-02-21,15.2,525.0433,0.004626569729015095,0.007205239797708707
2008-02-22,14.97,516.8667,-0.015131578947368385,-0.01557319177294525
2008-02-25,15.22,525.9136,0.016700066800267255,0.01750335241175316
2008-02-26,15.43,532.8991,0.01379763469119566,0.013282600031640168
2008-02-27,15.44,532.7252,0.0006480881399870686,-0.00032632819233513466
2008-02-28,15.48,534.3827,0.002590673575129543,0.0031113602285006703
2008-02-29,15.18,528.284,-0.019379844961240345,-0.011412607481492199
2008-03-03,14.61,501.0359,-0.03754940711462451,-0.05105914516425059
2008-03-04,14.39,492.1024,-0.015058179329226484,-0.017830059682350186
2008-03-05,14.55,497.8404,0.011118832522585054,0.011660174792888611
2008-03-07,14.08,482.7536,-0.03230240549828178,-0.030304491158210545
2008-03-10,14.15,485.6341,0.004971590909090828,0.005966812054845283
2008-03-11,14.36,492.2174,0.014840989399293125,0.013556090892299366
2008-03-12,14.37,492.823,0.0006963788300835549,0.001230350653999679
2008-03-13,13.66,467.4862,-0.04630020833333341,-0.05105914516425059
2008-03-14,13.97,479.6941,0.022693997071742356,0.026113925929792225
2008-03-17,13.23,455.3528,-0.04630020833333341,-0.0507433799998791
2008-03-18,13.3,458.3353,0.005291005291005346,0.006549866389313985
2008-03-19,13.48,462.4561,0.013533834586466176,0.008990797784940385
2008-03-24,13.61,466.0469,0.009643916913946615,0.0077646289020731896
2008-03-25,14.28,493.0123,0.048735438676587146,0.05241275355320959
2008-03-26,14.2,488.1056,-0.0056022408963585235,-0.009952490029153438
2008-03-27,14.12,488.2363,-0.005633802816901401,0.0002677699251965038
2008-03-28,14.43,499.4985,0.02195467422096331,0.02306710910270282
2008-03-31,13.92,478.5616,-0.03534303534303529,-0.04191584158911388
2008-04-01,13.91,479.0684,-0.0007183908045976795,0.001059006823781905
2008-04-02,13.95,480.5339,0.0028756290438531895,0.0030590621297501563
2008-04-03,13.99,482.2787,0.0028673835125447855,0.003630961311990699
2008-04-04,13.65,469.7187,-0.02430307362401718,-0.026043032794108467
2008-04-07,13.98,481.2081,0.02417582417582409,0.024460171587803448
2008-04-08,13.86,476.0059,-0.008583690987124526,-0.010810707467309943
2008-04-09,13.95,479.7675,0.006493506493506551,0.007902423058201657
2008-04-10,13.92,478.375,-0.0021505376344085336,-0.002902447539693709
2008-04-11,14.07,482.8841,0.010775862068965525,0.009425868826757222
2008-04-15,14.31,493.122,0.017057569296375252,0.021201567829630452
2008-04-16,14.33,493.8876,0.0013976240391333494,0.00155255697373069
2008-04-17,14.51,501.0447,0.012561060711793415,0.01449135390319567
2008-04-21,14.69,508.9612,0.012405237767057153,0.015799987506104785
2008-04-22,14.72,510.1971,0.002042205582028611,0.002428279405188416
